Name,Year,State,Party,Chamber,NetWorth,NetWorthRank,OSID,DistrictMedInc,District,DW Nominate,State Median Income,MedianIncome
Barletta Lou,2011, Pennsylvania, R, H,1582049,168, N00025495,,,0.266,52768.0,
Barletta Lou,2010, Pennsylvania, R, H,1391552,159, N00025495,,,0.0,52768.0,
Barletta Lou,2009, Pennsylvania, R, H,1255038,164, N00025495,,,0.0,52768.0,
Barr Andy,2013, Kentucky, R, H,328009,308, N00031233,,,0.734,41707.0,
Barr Andy,2012, Kentucky, R, H,346012,308, N00031233,,,0.0,41707.0,
Barr Andy,2011, Kentucky, R, H,418015,285, N00031233,,,0.0,41707.0,
Barrasso John A,2013, Wyoming, R, S,5647008,29, N00006236,58752.0,,0.682,56835.0,
Barrasso John A,2012, Wyoming, R, S,5673508,25, N00006236,58752.0,,0.682,56835.0,
Barrasso John A,2011, Wyoming, R, S,6137510,29, N00006236,58752.0,,0.682,56835.0,
Barrasso John A,2010, Wyoming, R, S,5730008,34, N00006236,58752.0,,0.682,56835.0,
Barrasso John A,2009, Wyoming, R, S,6054509,29, N00006236,58752.0,,0.682,56835.0,
Barrasso John A,2008, Wyoming, R, S,6482008,25, N00006236,58752.0,,0.682,56835.0,
Barrasso John A,2007, Wyoming, R, S,6486006,26, N00006236,58752.0,,0.682,56835.0,
Barrow John,2013, Georgia, D, H,3790502,-1, N00026080,,,-0.158,47958.0,
Barrow John,2012, Georgia, D, H,3758502,99, N00026080,,,-0.127,47958.0,
Barrow John,2011, Georgia, D, H,3783002,85, N00026080,,,-0.127,47958.0,
Barrow John,2010, Georgia, D, H,3758002,82, N00026080,,,-0.127,47958.0,
Barrow John,2009, Georgia, D, H,3758002,77, N00026080,,,-0.127,47958.0,
Barrow John,2008, Georgia, D, H,3825002,75, N00026080,,,-0.127,47958.0,
Barrow John,2007, Georgia, D, H,4675003,60, N00026080,,,-0.127,47958.0,
Barrow John,2006, Georgia, D, H,5983505,57, N00026080,,,-0.127,47958.0,
Barrow John,2005, Georgia, D, H,5508004,57, N00026080,,,-0.127,47958.0,
Barton Joe,2013, Texas, R, H,123502,366, N00005656,,,0.706,52169.0,
Barton Joe,2012, Texas, R, H,78502,385, N00005656,,,0.54,52169.0,
