"Table 102.30. Median household income, by state: Selected years, 1990 through 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[In constant 2018 dollars. Standard errors appear in parentheses],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,"60,800","67,400","63,400",(700),"58,900",(560),"54,600",(440),"55,600",(630),"57,700",(570),"59,400",(590),"58,600",(690),,,,,,,,,,,,,,,
New Hampshire,"71,200","74,800","73,200",(780),"70,500",(800),"70,600",(840),"74,500",(810),"74,200",(900),"75,200","(1,050)","75,000",(950),,,,,,,,,,,,,,,
New Jersey,"80,200","83,400","79,500",(410),"78,100",(540),"76,400",(280),"76,500",(390),"79,700",(450),"82,000",(420),"81,700",(420),,,,,,,,,,,,,,,
New Mexico,"47,200","51,600","48,300",(590),"48,600",(510),"47,600",(550),"48,100",(560),"48,900",(530),"47,900",(740),"47,200",(550),,,,,,,,,,,,,,,
New York,"64,600","65,600","63,800",(330),"62,500",(260),"62,500",(250),"64,500",(200),"65,800",(400),"66,500",(320),"67,800",(390),,,,,,,,,,,,,,,
North Carolina,"52,200","59,200","52,500",(250),"50,000",(260),"49,400",(250),"50,700",(340),"52,900",(190),"54,000",(320),"53,900",(350),,,,,,,,,,,,,,,
North Dakota ,"45,500","52,300","52,900",(550),"56,200","(1,110)","62,700","(1,080)","64,200","(1,070)","63,500",(970),"63,400",(660),"63,800","(1,410)",,,,,,,,,,,,,,,
Ohio ,"56,300","61,900","56,100",(270),"52,000",(210),"52,400",(230),"54,100",(150),"54,800",(170),"55,300",(260),"56,100",(260),,,,,,,,,,,,,,,
Oklahoma ,"46,200","50,500","47,800",(440),"48,600",(290),"50,500",(290),"51,500",(330),"51,500",(400),"51,300",(360),"51,900",(270),,,,,,,,,,,,,,,
Oregon,"53,400","61,900","55,400",(460),"53,700",(380),"54,200",(320),"57,400",(590),"60,200",(540),"61,700",(500),"63,400",(640),,,,,,,,,,,,,,,
Pennsylvania,"57,000","60,600","57,400",(310),"56,900",(300),"56,500",(270),"59,000",(240),"59,500",(230),"60,600",(280),"60,900",(190),,,,,,,,,,,,,,,
Rhode Island ,"63,100","63,600","66,300","(1,080)","60,300",(870),"58,300",(960),"61,600","(1,560)","63,400","(1,010)","65,400","(1,160)","64,300",(260),,,,,,,,,,,,,,,
South Carolina,"51,500","56,100","50,700",(480),"48,500",(300),"48,000",(330),"50,100",(350),"51,800",(380),"51,800",(330),"52,300",(380),,,,,,,,,,,,,,,
South Dakota,"44,100","53,300","52,000",(700),"53,000",(850),"54,100",(660),"56,200",(710),"57,000",(820),"57,900",(820),"56,300",(880),,,,,,,,,,,,,,,
Tennessee,"48,600","55,000","50,100",(380),"47,900",(280),"47,100",(360),"50,100",(320),"50,800",(430),"52,600",(260),"52,400",(300),,,,,,,,,,,,,,,
Texas ,"53,000","60,400","54,300",(190),"56,100",(240),"56,300",(240),"59,000",(200),"59,200",(190),"60,600",(310),"60,600",(170),,,,,,,,,,,,,,,
Utah ,"57,800","69,100","61,800",(740),"63,200",(440),"64,700",(420),"66,700",(790),"69,000",(610),"70,000",(770),"71,400",(450),,,,,,,,,,,,,,,
Vermont ,"58,400","61,800","58,900",(940),"57,000","(1,040)","57,500","(1,110)","60,400",(850),"60,400","(1,060)","58,900","(1,300)","60,800",(940),,,,,,,,,,,,,,,
Virginia ,"65,300","70,600","69,900",(420),"70,000",(320),"68,900",(400),"70,200",(350),"71,300",(480),"73,300",(340),"72,600",(420),,,,,,,,,,,,,,,
Washington,"61,100","69,200","63,500",(500),"64,200",(390),"65,200",(310),"68,000",(510),"70,200",(380),"72,700",(360),"74,100",(420),,,,,,,,,,,,,,,
West Virginia,"40,800","44,900","43,100",(630),"44,100",(630),"43,600",(420),"44,500",(510),"45,400",(710),"44,500",(870),"44,100",(620),,,,,,,,,,,,,,,
Wisconsin ,"57,700","66,200","60,700",(310),"56,600",(350),"55,900",(280),"59,000",(280),"59,400",(350),"60,800",(370),"60,800",(240),,,,,,,,,,,,,,,
Wyoming ,"53,100","57,300","59,600","(1,190)","61,800","(1,330)","60,600","(1,280)","63,800","(1,020)","62,700","(1,410)","61,900","(1,100)","61,600",(850),,,,,,,,,,,,,,,
